
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
N7,VSS_N7,,,,,,,,,,,,,,,,,
M7,VSS_M7,,,,,,,,,,,,,,,,,
L7,VSS_L7,,,,,,,,,,,,,,,,,
K7,VSS_K7,,,,,,,,,,,,,,,,,
J7,VSS_J7,,,,,,,,,,,,,,,,,
H7,VSS_H7,,,,,,,,,,,,,,,,,
G7,VSS_G7,,,,,,,,,,,,,,,,,
F7,VSS_F7,,,,,,,,,,,,,,,,,
E7,VSS_E7,,,,,,,,,,,,,,,,,
N8,VSS_N8,,,,,,,,,,,,,,,,,
M8,VSS_M8,,,,,,,,,,,,,,,,,
L8,VSS_L8,,,,,,,,,,,,,,,,,
K8,VSS_K8,,,,,,,,,,,,,,,,,
J8,VSS_J8,,,,,,,,,,,,,,,,,
H8,VSS_H8,,,,,,,,,,,,,,,,,
G8,VSS_G8,,,,,,,,,,,,,,,,,
F8,VSS_F8,,,,,,,,,,,,,,,,,
E8,VSS_E8,,,,,,,,,,,,,,,,,
N9,VSS_N9,,,,,,,,,,,,,,,,,
M9,VSS_M9,,,,,,,,,,,,,,,,,
L9,VSS_L9,,,,,,,,,,,,,,,,,
K9,VSS_K9,,,,,,,,,,,,,,,,,
J9,VSS_J9,,,,,,,,,,,,,,,,,
H9,VSS_H9,,,,,,,,,,,,,,,,,
G9,VSS_G9,,,,,,,,,,,,,,,,,
N10,VSS_N10,,,,,,,,,,,,,,,,,
M10,VSS_M10,,,,,,,,,,,,,,,,,
L10,VSS_L10,,,,,,,,,,,,,,,,,
K10,VSS_K10,,,,,,,,,,,,,,,,,
J10,VSS_J10,,,,,,,,,,,,,,,,,
H10,VSS_H10,,,,,,,,,,,,,,,,,
G10,VSS_G10,,,,,,,,,,,,,,,,,
F10,VSS_F10,,,,,,,,,,,,,,,,,
E10,VSS_E10,,,,,,,,,,,,,,,,,
N11,VSS_N11,,,,,,,,,,,,,,,,,
